INTERSECTION_ID,COUNTY,INTERSECTION_GEO,RELATION_TO_CURVE,DIST_TO_CURVE,DIST_TO_INT,INTERSECTION_TYPE,INTERSECTION_SHAPE,INTERSECTION_LEG,INTERSECTION_ANGLE,MAJ_AADT_2015RCI,MIN_AADT_2015RCI,MAX_FUNCLASS,MIN_FUNCLASS,MAX_SPEEDCAT,MIN_SPEEDCAT,MAX_LANECAT,MIN_LANECAT,IF_INTERSECT_ONSYSRD,CRASH_HE_SE,CRASH_HE_SE_TYPE_ANGLE
501117,LEVY,1,no relation,0,615.188384,3wayT,T,3,90,90,90,5,5,5,5,1,1,N,0,0
501118,LEVY,1,no relation,0,404.269172,3wayT,T,3,90,1200,1200,5,5,5,5,1,1,N,0,0
501119,LEVY,1,no relation,0,195.560951,3wayT,T,3,90,1000,1000,5,4,5,3,1,1,N,0,0
501131,JEFFERSON,1,no relation,0,272.079171,3wayY,Y,3,70.5,500,500,5,4,5,3,1,1,N,0,0
501141,COLUMBIA,1,no relation,0,73.127888,4wayCross,Cross,4,90,6600,2200,5,3,6,6,1,1,Y,6,4
501147,LEVY,1,no relation,0,643.553603,4wayCross,Cross,4,90,650,650,5,5,5,5,1,1,N,0,0
501152,HAMILTON,1,no relation,0,109.459677,4wayX,X,4,79.5,350,350,5,4,5,4,1,1,N,0,0
501162,COLUMBIA,1,no relation,0,52.947988,3wayT,T,3,90,2600,2600,5,4,5,5,1,1,N,0,0
501178,COLUMBIA,1,no relation,0,97.20042,3wayY,Y,3,82.7,14100,2000,4,4,6,4,2,1,Y,3,1
501182,HENDRY,1,no relation,0,399.123364,4wayCross,Cross,4,90,1750,1750,5,4,6,4,1,1,N,0,0
501225,LEVY,1,no relation,0,315.131901,3wayY,Y,3,71.1,400,400,5,4,6,5,1,1,N,0,0
501235,WAKULLA,1,no relation,0,57.625317,3wayT,T,3,90,6400,6400,5,4,5,3,1,1,N,2,2
501252,LAFAYETTE,1,no relation,0,91.015703,3wayT,T,3,90,1600,1600,5,3,6,5,1,1,N,0,0
501259,DIXIE,1,no relation,0,292.063106,3wayY,Y,3,84.2,1400,1400,5,5,5,5,1,1,N,0,0
501268,DIXIE,1,no relation,0,164.73752,3wayY,Y,3,82,3200,3200,5,4,7,6,1,1,N,0,0
501273,WASHINGTON,1,no relation,0,285.402158,3wayY,Y,3,78.8,1500,1500,5,5,5,5,1,1,N,0,0
501274,HENDRY,1,no relation,0,101.045446,3wayT,T,3,90,1650,1650,5,5,6,5,1,1,N,0,0
501279,HARDEE,1,no relation,0,397.537413,3wayT,T,3,90,750,750,5,4,5,3,1,1,N,0,0
501280,HARDEE,1,no relation,0,154.358665,3wayT,T,3,90,3400,3400,5,4,6,5,1,1,N,0,0
501319,HARDEE,1,no relation,0,103.143655,4wayCross,Cross,4,90,14500,500,4,2,6,5,2,1,Y,10,6
501348,HARDEE,1,no relation,0,75.83737,3wayT,T,3,90,500,500,5,4,6,6,1,1,N,0,0
501358,OKEECHOBEE,1,no relation,0,95.488146,3wayT,T,3,90,12600,4700,4,3,5,3,1,1,Y,5,2
501384,JACKSON,1,no relation,0,22.186872,3wayT,T,3,90,2300,2300,5,4,6,5,1,1,N,1,1
501385,JACKSON,1,no relation,0,24.40554,3wayT,T,3,90,2300,2300,5,4,6,5,1,1,N,0,0
501387,JACKSON,1,no relation,0,76.293475,4wayX,X,4,65.4,7800,1300,5,4,5,5,1,1,Y,6,2
501413,DIXIE,1,no relation,0,120.935143,3wayY,Y,3,82.6,2100,2100,5,4,5,3,1,1,N,0,0
501417,OKEECHOBEE,1,no relation,0,19.393362,3wayY,Y,3,70.3,160,160,5,5,5,5,1,1,N,0,0
501488,LEVY,1,no relation,0,165.037084,3wayT,T,3,90,1800,1800,5,4,6,4,1,1,N,0,0
501733,HAMILTON,1,no relation,0,81.319207,4wayX,X,4,83.5,1300,1300,5,4,6,6,1,1,N,0,0
501832,SUWANNEE,1,no relation,0,101.996945,4wayO,O,4,66.3,450,450,5,5,5,5,1,1,N,0,0
501879,SUWANNEE,1,no relation,0,113.224418,3wayT,T,3,90,5200,5200,5,4,6,5,1,1,N,2,0
501931,HAMILTON,1,no relation,0,141.197384,4wayCross,Cross,4,90,,,5,5,6,6,1,1,N,0,0
501954,SUWANNEE,1,no relation,0,412.971196,3wayT,T,3,90,1200,250,5,4,5,4,1,1,N,1,0
501968,DESOTO,1,no relation,0,260.945873,3wayY,Y,3,58.3,7300,500,4,3,3,3,2,1,Y,1,0
501973,GADSDEN,1,no relation,0,24.877157,3wayY,Y,3,72.7,3100,3100,4,3,3,3,1,1,Y,1,0
501993,GADSDEN,1,no relation,0,222.850244,3wayT,T,3,90,1000,1000,5,4,5,3,1,1,N,0,0
502017,DESOTO,1,no relation,0,406.564665,3wayT,T,3,90,3100,3100,5,4,5,3,1,1,N,1,0
502175,CALHOUN,1,no relation,0,216.202003,6wayOther,Other,6,40.1,1800,1800,5,4,5,3,1,1,N,0,0
502390,LEVY,1,no relation,0,520.743743,4wayCross,Cross,4,90,2100,2100,5,5,6,5,1,1,N,0,0
502615,FRANKLIN,1,no relation,0,157.089382,4wayCross,Cross,4,90,,,5,5,6,5,1,1,N,0,0
502640,TAYLOR,1,no relation,0,147.899762,3wayT,T,3,90,2500,2500,5,4,5,3,1,1,N,0,0
502672,COLUMBIA,1,no relation,0,100.062416,3wayY,Y,3,84.4,2800,2800,5,5,6,5,1,1,N,0,0
502733,BRADFORD,1,no relation,0,18.347256,3wayY,Y,3,62.8,2400,2400,5,4,5,4,1,1,N,1,0
503233,LEVY,1,no relation,0,153.234095,3wayT,T,3,90,3400,3400,5,4,6,4,1,1,N,0,0
503234,LEVY,1,no relation,0,420.909807,3wayT,T,3,90,3400,3400,5,4,6,4,1,1,N,0,0
503246,LEVY,1,no relation,0,55.317809,3wayT,T,3,90,400,400,5,5,5,5,1,1,N,1,0
503382,LEVY,1,no relation,0,55.317809,3wayT,T,3,90,400,400,5,5,5,5,1,1,N,1,0
504594,OKEECHOBEE,1,no relation,0,205.424489,3wayT,T,3,90,500,500,5,5,5,5,1,1,N,0,0
504831,JACKSON,1,no relation,0,71.783133,3wayY,Y,3,82.1,4700,4700,5,4,6,5,1,1,N,0,0
504921,WAKULLA,1,no relation,0,62.33865,3wayT,T,3,90,3100,3100,5,4,5,4,1,1,N,0,0
504928,BAKER,1,no relation,0,363.274326,3wayY,Y,3,81.9,5300,5300,5,4,5,4,1,1,N,0,0
504940,BAKER,1,no relation,0,287.239137,3wayY,Y,3,63.4,2880,1600,4,3,5,3,1,1,Y,1,1
504992,TAYLOR,1,no relation,0,77.739454,4wayO,O,4,52.9,3300,3300,5,5,5,5,1,1,N,0,0
505058,WAKULLA,1,no relation,0,205.907544,3wayT,T,3,90,500,500,5,3,5,4,1,1,N,0,0
505066,MADISON,1,no relation,0,54.716487,3wayY,Y,3,54.7,600,600,5,4,5,5,1,1,N,0,0
505087,DIXIE,1,no relation,0,136.58993,3wayY,Y,3,78.8,150,150,5,5,5,5,1,1,N,0,0
505105,MADISON,1,no relation,0,786.526773,4wayCross,Cross,4,90,2100,2100,5,4,6,4,1,1,N,0,0
505120,DIXIE,1,no relation,0,93.284019,3wayT,T,3,90,2100,2100,5,4,5,5,1,1,N,0,0
505223,LEVY,1,no relation,0,408.595579,3wayT,T,3,90,1100,1100,5,5,5,5,1,1,N,0,0
505603,HENDRY,1,no relation,0,35.751348,3wayT,T,3,90,1750,1750,5,4,5,4,1,1,N,3,1
505691,BAKER,1,no relation,0,130.89243,3wayT,T,3,90,900,900,5,4,5,4,1,1,N,0,0
505769,DIXIE,1,no relation,0,27.954506,3wayY,Y,3,62.2,900,900,5,5,5,5,1,1,N,0,0
505806,UNION,1,no relation,0,179.328893,3wayT,T,3,90,500,500,5,5,5,5,1,1,N,0,0
505818,COLUMBIA,1,no relation,0,200.921961,3wayT,T,3,90,1100,1100,5,4,5,3,1,1,N,0,0
505851,HARDEE,1,no relation,0,809.805705,3wayT,T,3,90,300,300,5,4,5,3,1,1,N,0,0
505883,GLADES,1,no relation,0,562.776892,3wayT,T,3,90,500,500,5,5,5,5,1,1,N,0,0
505894,CALHOUN,1,no relation,0,13.619694,3wayY,Y,3,70.1,1400,1400,5,4,5,3,1,1,N,1,0
505897,MADISON,1,no relation,0,199.471111,3wayY,Y,3,74.6,900,900,5,5,5,5,1,1,N,0,0
505911,LEVY,1,no relation,0,599.631589,4wayX,X,4,80.1,1400,1400,5,4,5,3,1,1,N,0,0
506047,BAKER,1,no relation,0,157.706642,4wayX,X,4,84.7,900,900,5,4,5,4,1,1,N,0,0
506073,BAKER,1,no relation,0,235.307763,3wayT,T,3,90,1400,1400,5,4,5,3,1,1,N,0,0
506085,BAKER,1,no relation,0,29.631272,3wayY,Y,3,68.4,,,5,5,5,5,1,1,N,1,0
506092,TAYLOR,1,no relation,0,316.352603,3wayY,Y,3,67,2500,2500,5,4,5,3,1,1,N,0,0
506118,DIXIE,1,no relation,0,582.446611,3wayY,Y,3,81.2,300,300,5,5,5,5,1,1,N,0,0
506126,DIXIE,1,no relation,0,435.347094,3wayY,Y,3,82.2,100,100,5,4,5,3,1,1,N,0,0
506142,LEVY,1,no relation,0,208.73982,3wayT,T,3,90,1300,1300,5,4,5,3,1,1,N,0,0
506148,LAFAYETTE,1,no relation,0,50.08533,3wayT,T,3,90,200,200,5,5,5,5,1,1,N,0,0
506158,DIXIE,1,no relation,0,54.306978,3wayY,Y,3,80.1,900,900,5,4,5,5,1,1,N,1,0
506212,UNION,1,no relation,0,383.125174,3wayT,T,3,90,450,450,5,4,5,4,1,1,N,0,0
506221,SUWANNEE,1,no relation,0,127.729825,3wayY,Y,3,87.3,200,200,5,5,5,5,1,1,N,0,0
506327,BRADFORD,1,no relation,0,217.136937,3wayY,Y,3,83,450,450,5,5,5,5,1,1,N,0,0
506337,DIXIE,1,no relation,0,42.188693,3wayY,Y,3,67.5,300,300,5,5,5,5,1,1,N,0,0
506338,DIXIE,1,no relation,0,45.422736,3wayT,T,3,90,450,450,5,5,5,5,1,1,N,0,0
506340,BRADFORD,1,no relation,0,112.734623,3wayT,T,3,90,,,5,4,5,4,1,1,N,0,0
506354,JACKSON,1,no relation,0,169.055046,3wayY,Y,3,80.3,2700,2700,5,4,5,4,1,1,N,0,0
507606,LIBERTY,1,no relation,0,124.988366,3wayY,Y,3,80.1,250,250,5,4,6,4,1,1,N,0,0
507617,UNION,1,no relation,0,160.965166,3wayY,Y,3,84.4,600,600,5,4,5,3,1,1,N,0,0
507653,UNION,1,no relation,0,169.080107,3wayY,Y,3,80.1,,,5,5,5,5,1,1,N,0,0
507665,UNION,1,no relation,0,38.56282,3wayY,Y,3,54.9,500,500,5,5,5,5,1,1,N,0,0
507695,UNION,1,no relation,0,149.907413,3wayT,T,3,90,,,5,5,5,5,1,1,N,0,0
507704,OKEECHOBEE,1,no relation,0,3699.697794,3wayT,T,3,90,1850,300,5,3,5,3,1,1,N,1,0
507816,HOLMES,1,no relation,0,33.689482,3wayY,Y,3,67.4,1900,1900,5,4,5,4,1,1,N,0,0
507861,GULF,1,no relation,0,414.159438,3wayY,Y,3,31.1,2100,2100,5,3,5,3,1,1,N,0,0
507868,GADSDEN,1,no relation,0,173.560377,3wayT,T,3,90,,,5,5,5,5,1,1,N,0,0
507966,COLUMBIA,1,no relation,0,42.40558,3wayY,Y,3,64.3,5800,2000,4,3,4,3,1,1,Y,2,1
507998,COLUMBIA,1,no relation,0,67.353589,3wayT,T,3,90,3700,3700,5,4,5,4,1,1,N,1,0
